Team,Year,Round of 64,64WL,64PD,Round of 32,32WL,32PD,Sweet 16,16WL,16PD,Elite 8,8WL,8PD,Final 4,4WL,4PD,Championship,2WL
Iona,2017,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2017,Oklahoma St.,1,1,Louisville,1,4,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma St.,2017,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisville,2017,Jacksonville St.,1,15,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville St.,2017,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2017,Texas Southern,1,39,Arkansas,1,7,Butler,1,12,Kentucky,1,2,Oregon,1,1,Gonzaga,1
Texas Southern,2017,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2017,Seton Hall,1,6,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seton Hall,2017,Arkansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2017,Middle Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tennessee,2017,Minnesota,1,9,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2017,Winthrop,1,12,Middle Tennessee,1,9,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winthrop,2017,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2017,Kansas St.,1,14,UCLA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas St.,2017,Cincinnati,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCLA,2017,Kent St.,1,17,Cincinnati,1,12,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kent St.,2017,UCLA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton ,2017,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita St.,2017,Dayton,1,6,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2017,Northern Kentucky,1,9,Wichita St.,1,3,UCLA,1,11,North Carolina,0,NA,NA,NA,NA,NA,NA
Northern Kentucky,2017,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2018,Montana,1,14,Houston,1,1,Texas A&M,1,27,Florida St.,1,4,Loyola Chicago,1,12,Villanova,0
Villanova,2018,Radford,1,26,Alabama,1,23,West Virginia,1,12,Texas Tech,1,12,Kansas,1,16,Michigan,1
Duke,2018,Iona,1,22,Rhode Island,1,25,Syracuse,1,4,Kansas,0,NA,NA,NA,NA,NA,NA
Florida St.,2018,Missouri,1,13,Xavier,1,5,Gonzaga,1,15,Michigan,0,NA,NA,NA,NA,NA,NA
Kansas St.,2018,Creighton,1,10,UMBC,1,7,Kentucky,1,3,Loyola Chicago,0,NA,NA,NA,NA,NA,NA
Texas Tech,2018,Stephen F. Austin,1,10,Florida,1,3,Purdue,1,13,Villanova,0,NA,NA,NA,NA,NA,NA
Kansas,2018,Penn,1,16,Seton Hall,1,4,Clemson,1,4,Duke,1,4,Villanova,0,NA,NA,NA
Loyola Chicago,2018,Miami FL,1,2,Tennessee,1,1,Nevada,1,1,Kansas St.,1,16,Michigan,0,NA,NA,NA
Rhode Island,2018,Oklahoma,1,5,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2018,Lipscomb,1,18,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMBC,2018,Virginia,1,20,Kansas St. ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2018,Georgia St.,1,15,Nevada,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,2018,San Diego St.,1,2,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2018,Bucknell,1,4,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio St.,2018,South Dakota St.,1,8,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2018,Arkansas,1,17,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seton Hall,2018,North Carolina St.,1,11,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2018,Texas Southern,1,19,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall,2018,Wichita St.,1,6,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo,2018,Arizona,1,21,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2018,Virginia Tech,1,3,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn,2018,College of Charleston,1,4,Clemson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2018,St. Bonaventure,1,15,Texas Tech,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,2018,Wright St.,1,26,Loyola Chicago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson,2018,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Bonaventure,2018,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2018,Loyola Chicago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina St.,2018,Seton Hall,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2018,UMBC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Tech,2018,Alabama,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita St.,2018,Marshall,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penn,2018,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iona,2018,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego St.,2018,Houston,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murray St.,2018,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2018,Buffalo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucknell,2018,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia St. ,2018,Cincinnati,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNC Greensboro,2018,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2018,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,2018,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stephen F. Austin,2018,Texas Tech,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota St.,2018,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Southern,2018,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2018,Clemson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson,2018,New Mexico St.,1,11,Auburn,1,31,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse,2018,TCU,1,5,Michigan St.,1,2,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue,2018,Cal St. Fullerton,1,26,Butler,1,3,Texas Tech,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,2018,Murray St.,1,17,Marshall,1,23,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2018,Texas,1,4,Cincinnati,1,2,Loyola Chicago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2018,Davidson,1,5,Buffalo,1,20,Kansas St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas A&M,2018,Providence,1,4,North Carolina,1,21,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2018,UNC Greensboro,1,4,Ohio St.,1,6,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lipscomb,2018,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2018,Rhode Island,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCU,2018,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2018,Texas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2018,Kansas St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence,2018,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2018,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radford,2018,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton,2018,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Charleston,2018,Auburn,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wright St.,2018,Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2019,North Dakota St. ,1,32,UCF,1,1,Virginia Tech,1,2,Michigan St.,0,NA ,NA ,NA ,NA ,NA ,NA 
North Dakota St.,2019,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
